,公司名稱,公司類別描述,職缺名稱,職務性質,職務內容,更新日期,職缺連結,公司地址,地區,經歷,學歷
48,香港商奇藝香港有限公司台北辦事處,網際網路相關業,Python自動化工程師,1,"愛奇藝是一個正向海外發展的國際化公司，目前多國都可使用愛奇藝國際模式觀看視頻。期待你的加入，讓我們為國際化的產品品質把關。

目前測試部門分為三種不同的職位：軟體測試工程師、軟體測試管理工程師、Python自動化工程師

Python自動",3/18,https://www.104.com.tw/job/6ju86?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市內湖區瑞光路550號7樓,台北市內湖區,1年以上,大學
49,文境資科股份有限公司,專門設計相關業,Python Developer,1,"1. 協助完善自然語言處理框架
2. 協助建置自然語言處理各功能的的自動化測試(未來預計導入CI／CD流程)
3. 協助將組內的研究團隊成果加入公司的自然語言處理框架
4. 協助與合作夥伴的產品整合規劃",3/18,https://www.104.com.tw/job/6x67u?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市大安區,台北市大安區,1年以上,大學
50,百師商務有限公司,網際網路相關業,Raspberry Pi + Python 聲紋/影像辨識實習工程師,1,"工作內容

專案方向為研究 Raspberry Pi 搭配 Home Assistant 
做智能家居系統

1:影像辨識
主要用於判讀 sensor 傳回的影像作人物辨識

2:聲紋比對
比對輸入的語音後執行特定腳本

",3/23,https://www.104.com.tw/job/72my0?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市大同區西寧北路78號8樓,台北市大同區,經歷不拘,專科
51,百師商務有限公司,網際網路相關業,Raspberry Pi + Python 聲紋/影像辨識實習工程師,2,"工作內容

專案方向為研究 Raspberry Pi 搭配 Home Assistant 
做智能家居系統

1:影像辨識
主要用於判讀 sensor 傳回的影像作人物辨識

2:聲紋比對
比對輸入的語音後執行特定腳本


",3/23,https://www.104.com.tw/job/72my1?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市大同區西寧北路78號8樓,台北市大同區,經歷不拘,專科
52,Mphasis Taiwan_澳大利亞商安復仕有限公司台灣分公司,電腦軟體服務業,Automation Test Engineer (Python) 自動化測試工程師,1," Python , familiar with OOPs concept
•Experience in working directly with customers or development teams in troubleshooting",3/15,https://www.104.com.tw/job/6u7kv?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市南港區,台北市南港區,3年以上,大學
53,上穎國際有限公司,電腦軟體服務業,資深自動化Python工程師,1,"-Python 監控與維運系統開發
-熟悉Python編程語言

1. 負責軟體之分析、設計以及程式撰寫。
2. 自動化控制手機填寫表單, 查單
3. 技術文件撰寫
4.負責設計和開發網路爬蟲系統，進行多平台訊息的抓取和資料清理
5.利用爬蟲技術",3/19,https://www.104.com.tw/job/77uwo?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台中市西屯區河南路二段262號8樓之8,台中市西屯區,1年以上,學歷不拘
54,誠雲科技股份有限公司,電腦軟體服務業,Python後端工程師(台中總部),1,"- 熟悉 Python
- 熟悉 Web 程式開發
- 具Linux主機維護經驗佳
- 有api server開發經驗佳
其它條件 
1. 網路應用程式開發有極大熱忱
2. 思路清晰，有良好溝通協調能力
3. 積極、認真與負責，喜好",3/22,https://www.104.com.tw/job/4cifp?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台中市西屯區台灣大道四段925號16F-3,台中市西屯區,經歷不拘,專科
55,台灣現觀股份有限公司,電腦軟體服務業,Python 資料處理/數據工程師,1,"===== 職務內容 =====
- 數據介接、清洗及處理
- 數據整合、開發及維運
- 須熟悉平行處理技巧與方法
- 須熟悉 Python

===== 加分項目 =====
- 可獨立或與團隊合作，工作態度積極、負責，能配合公司",3/22,https://www.104.com.tw/job/6qpx1?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市中山區中山北路二段42號2樓,台北市中山區,經歷不拘,大學
56,聯成電腦有限公司(聯成電腦/聯成外語),補習班,Python 程式設計語言(課程講師) - 中壢分校,2,"【業界經驗】至少有python開發經驗2年以上。
【授課經驗】若有尤佳，若無則需準備教材試教以確認教學能力。
【其它】
+ 熟 Python程式語言、Scipy、Spark、SQL Server資料庫、資料探勘、統計分析相關經驗。
+ 需",3/24,https://www.104.com.tw/job/5xlbc?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,桃園市中壢區,桃園市中壢區,3年以上,大學
57,英屬開曼群島商萬里雲互聯股份有限公司台灣分公司,電腦軟體服務業,專案全端工程師（偏前端）React &amp; Python,1,"相關經驗

加分項目：
- 具備Python後端程式開發經驗
- 具備Jest的實務經驗
- 具備串接 RESTful API的實務經驗
- 具備CI / CD的相關知識
- 具備node.js, websocket, OAuth和 jwt的相關知",3/19,https://www.104.com.tw/job/6u37f?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市信義區基隆路一段333號33樓,台北市信義區,2年以上,大學
58,PChome Online_網路家庭國際資訊(股)公司,網際網路相關業,Java / Python 軟體工程師 (大數據),1," 或 Python 程式語言
3.熟悉分散式架構相關知識。例如 Spark、Hadoop
4.熟悉關聯式資料庫的運用。例如 MySQL
5.熟悉 Linux 系統指令",3/24,https://www.104.com.tw/job/75kom?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市大安區敦化南路二段105號,台北市大安區,2年以上,大學
59,禾新數位有限公司,網際網路相關業,[ S-01 ] Developer 開發工程師 (Python),1,"[工作內容]
1. 負責python項目基礎框架設計及構建
2. 邏輯及演算法開發，執行需求分析和功能設計
3. 具備獨立開發能力、邏輯分析能力、解決問題能力

[條件要求]
1. 二年以上系統/後端開發經驗 
2. 熟悉",3/23,https://www.104.com.tw/job/6rrkz?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=3&mode=s&jobsource=jolist_c_relevance,台北市內湖區基湖路35巷11號7樓,台北市內湖區,2年以上,大學
60,聯成電腦有限公司(聯成電腦/聯成外語),補習班,Python 程式設計語言(課程講師) - 基隆、大台北地區,2,"【業界經驗】至少有python開發經驗2年以上。
【授課經驗】若有尤佳，若無則需準備教材試教以確認教學能力。
【其它】
+ 熟 Python程式語言、Scipy、Spark、SQL Server資料庫、資料探勘、統計分析相關經驗。
+ 需",3/24,https://www.104.com.tw/job/5pxb7?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,台北市中正區,台北市中正區,3年以上,大學
61,欣興電子股份有限公司,印刷電路板製造業(PCB),【工業4.0／智慧製造】大數據分析工程師（Python）,1,"1. 大數據資料分析及應用
2. 運用統計分析方法及機器學習提出適合演算模型
3. 自動控制與資料視覺化呈現
4. 生產製造時間序列分析系統建立

【加分項目】
具JAVA、SQL 程式能力者優

#Python
#機器學習 Machine",3/23,https://www.104.com.tw/job/6mjk0?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,桃園市龜山區山鶯路177號,桃園市龜山區,1年以上,大學
62,台灣競遊智慧網路有限公司,電腦軟體服務業,Python 工程師 - 初階,1,"主要工作內容

- 撰寫技術文件。
- 撰寫測試程式。
- 負責資料清洗。
- 建立資料標籤。
- 每日更新資料。

其他職務相關要求

- 需配合團隊需求開發程式。
- 程式撰寫習慣良好， 具自主測試及除錯能力。
- 懂得使用 git 做版本控管。
- 了解物件導向概念
",3/18,https://www.104.com.tw/job/7395f?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,台北市中山區玉門街1號,台北市中山區,經歷不拘,大學
63,環球誠信有限公司,電腦軟體服務業,Python 後端工程師,1,"1. 負責平台後端開發、維護及優化。
2. 負責平台與第三方服務之串接。
3. 熟悉RESTful API使用。
4. 具備MySQL使用經驗。 
5. 具備Git/Gitflow操作，包含branch、conflict解決衝突等操作。",3/18,https://www.104.com.tw/job/75gdf?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,高雄市鼓山區明華路315號16樓之1,高雄市鼓山區,1年以上,大學
64,聯成電腦有限公司(聯成電腦/聯成外語),補習班,資深Python 程式設計語言講師(台南地區),2,"【業界經驗】至少有python開發經驗2年以上。
【授課經驗】若有尤佳，若無則需準備教材試教以確認教學能力。
【其它】
+ 熟 Python程式語言、Scipy、Spark、SQL Server資料庫、資料探勘、統計分析相關經驗。
+ 需",3/24,https://www.104.com.tw/job/6w0gs?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,台南市中西區,台南市中西區,2年以上,大學
65,印度商威普羅股份有限公司台灣分公司,電腦系統整合服務業,Python Engineer (工作地點：新店/板橋),1," such as: Python, JavaScript, or Go.  HTML,  C/C++, C#, Java, Objective C,
4. Experience in the field of software engineering,",3/24,https://www.104.com.tw/job/6zocc?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,新北市新店區,新北市新店區,2年以上,大學
66,歐立威科技股份有限公司,電腦軟體服務業,Python 工程師 (Linux),1,"［工作內容］
1.負責軟體之分析、設計以及程式撰寫。 
2.規劃執⾏軟體架構及模組之設計，並控管軟體設計進度。 
3.進⾏軟體之測試與修改。

［職務要求］
1.熟悉Linux環境
2.對網頁server, framwork有概念
3.使用過PostgreSQL
4.了解MVC 網站網頁的概念(Model view control)
5.熟悉OOP(Object oriented programming，物件導向)
6.英語能⼒佳（需提供考試證明）",3/18,https://www.104.com.tw/job/6q2ao?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,台北市大同區鄭州路87號10樓,台北市大同區,經歷不拘,大學
67,Mphasis Taiwan_澳大利亞商安復仕有限公司台灣分公司,電腦軟體服務業,Software Engineer in Test (Python) 自動化測試工程師,1," Python , familiar with OOPs concept
•Experience in working directly with customers or development teams in troubleshooting",3/18,https://www.104.com.tw/job/784hl?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,台北市南港區,台北市南港區,3年以上,大學
68,紅門互動股份有限公司,網際網路相關業,Python Flask網站研發工程師(台中),1,"新獎)」
https://drive.google.com/file/d/1sBQrWne_M4JqbkGr21n6J8SjoG_szCe2/view


2．需使用python 開發前端網站與後端資料ETL(對全端工程師工作有興趣者)",3/16,https://www.104.com.tw/job/6kf9h?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,台中市西區大業北路10號,台中市西區,經歷不拘,大學
69,台灣智園有限公司,電腦軟體服務業,網站開發全端工程師 (Python),1," Python 為主，JAVA, NodeJS 為輔
   b. Javascript ES6, Angularjs, Vue 以及 CSS 開發前端 UI Presentation Layer
   c. MySQL 資料庫管理
   d. 曾接觸",3/22,https://www.104.com.tw/job/43gvt?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,新北市永和區保生路1號4樓-3,新北市永和區,經歷不拘,大學
70,光禾感知科技股份有限公司,其它軟體及網路相關業,Python後端工程師,1," Linux 並有Python開發經驗。
2. 熟悉資料庫使用 (SQL, mongodb)。
3. 熟悉資料結構及演算法等。
4. 熟悉 Git。

[ 加分項目 ]
1. 具備伺服器架設/規劃經驗。
2. 具備使用者介面設計與整合經驗。
3. 具備",3/24,https://www.104.com.tw/job/71j4l?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,台北市大安區忠孝東路4段325號8樓,台北市大安區,經歷不拘,大學
71,康翔科技股份有限公司,其它軟體及網路相關業,Python資料分析師,1,"1.使用統計、機器學習、深度學習等演算法進行建模 
2.協助定義商業問題以及方法論，定義假說以及指標，調整設計數據模型 
3.資料分析專案管理 
4.負責專案之提案/執行

1.精通統計理論及機器學習相關知識 
2.熟悉Python或R之數據分析",3/23,https://www.104.com.tw/job/77agw?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,新北市汐止區,新北市汐止區,經歷不拘,專科
72,圈圈空間有限公司,不動產經營業,Python程式設計師,1,"相關網路相關設定。
* 制定相關IT制度與流程，架構公司內部人員之相關管理機制。
工作條件：
* 具備SQL資料庫程式設計經建
* 具備物件導向程式開發：C++/C/ Python經驗
* 具備 Web Service/API等相關界接具",3/19,https://www.104.com.tw/job/6pdp6?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,台北市大安區信義路二段72號B1,台北市大安區,經歷不拘,專科
73,富泰金融科技股份有限公司,工商顧問服務業,Python 演算法工程師,1,"1.碩士以上。 
2. 無經驗可，可培訓。 ",3/12,https://www.104.com.tw/job/6ytc3?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,台北市南港區三重路19-11號E棟5樓545室,台北市南港區,經歷不拘,碩士
74,誠雲科技股份有限公司,電腦軟體服務業,Python資深工程師(台中總部),1,"- 熟悉 Python
- 熟悉 Web 程式開發
- 具Linux主機維護經驗佳
- 有api server開發經驗佳
其它條件 
1. 網路應用程式開發有極大熱忱
2. 思路清晰，有良好溝通協調能力
3. 積極、認真與負責，喜好",3/22,https://www.104.com.tw/job/6u54o?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,台中市西屯區台灣大道四段925號16F-3,台中市西屯區,3年以上,專科
75,艾得基客行銷顧問股份有限公司,工商顧問服務業,Java/Python/Go 大數據平台工程師,1,"Java/Python/Go 大數據平台工程師

adGeek艾得基客是一家專注於網路廣告優化及行銷整合的互聯網公司。目前我們團隊處於高速開發產品的時間，產品的功能相當多，可以玩與嚐試的東西很多，特別是架構面的東西，如消息隊列、大數據架構、設",3/24,https://www.104.com.tw/job/6j2dn?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,台北市大安區敦化南路二段76號16樓,台北市大安區,1年以上,大學
76,聯成電腦有限公司(聯成電腦/聯成外語),補習班,Python 程式設計語言講師(嘉義分校),2,"【業界經驗】至少有python開發經驗2年以上。
【授課經驗】若有尤佳，若無則需準備教材試教以確認教學能力。
【其它】
+ 熟 Python程式語言、Scipy、Spark、SQL Server資料庫、資料探勘、統計分析相關經驗。
+ 需",3/24,https://www.104.com.tw/job/6w0gd?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,嘉義市,嘉義市,2年以上,專科
77,聯成電腦有限公司(聯成電腦/聯成外語),補習班,Python程式講師-新竹分校,2,主要教授Python程式語言，運用在資料分機或網頁爬蟲，帶同學進入相關領域，本中心備有完整授課大綱及相關教材，歡迎想往補教領域發展的你加入,3/24,https://www.104.com.tw/job/5y4rk?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,新竹市中華路二段318號,新竹市,2年以上,專科
78,日月光半導體製造股份有限公司中壢分公司,半導體製造業,【PM】系統整合工程師 (Python),1,"1、Traceability系統建立與維護
2、專案執行(CIM專案、成本改善專案、製程改善專案)
3、報表自動化
4、統計分析
5、設施規劃",3/18,https://www.104.com.tw/job/4lz48?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,桃園市中壢區,桃園市中壢區,1年以上,大學
79,台灣米高蒲志國際股份有限公司,人力仲介代徵,Engineering Lead (Python),1,"•	As a founding lead in Taiwan to building a team
•	A growing international company with strong business performance



About Our Client

My client is an international software company that provide innovative methods in cloud system and partner with several famous firms.
They are now expanding their business worldwide and are looking for Engineering Lead to build software team in Taiwan. If you have experience in leading and managing software team, and willing to help company expand the global software center, my client should be on top of your priority.



Job Description

•	Build and lead a team of engineers in Taipei office.
•	Ensure timely technical solutions.
•	Design agile software development practices.
•	Manage expectations with management and stakeholders.



What's on Offer

•	Build and lead a team over all technical decisions in Taipei.
•	Work directly with headquarter and customers.
•	Exposure to a wide range of emerging technologies and tools.
•	Attractive benefits.

",3/22,https://www.104.com.tw/job/7889z?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=4&mode=s&jobsource=jolist_c_relevance,台北市信義區,台北市信義區,經歷不拘,大學
80,駿隆科技平台股份有限公司,電腦軟體服務業,Backend Developer(Python) – Startup in Taipei (Annual salary NT$ 1M~1.2M),1,"Interested in joining the FinTech revolution? We are building a disruptive platform in the area of Health and Wealth Management. You are invited to join us in this exciting journey. 

Based in Hong Kong, Gain Miles Technology Limited is a new startup in Taiwan is looking for high caliber individuals who are interest in software development, JavaScript and web and mobile technology. Please note seniority and compensation level will be determined on your actual experience. 

想要加入FinTech嶄新革命嗎？我們正在建立健康與財富管理領域的顛覆性平台。邀請您加入這個充滿樂趣的旅程。 

Gain Miles Technology Limited總部位於香港，是一家剛在台灣成立的新創公司，正在尋找對軟件開發，JavaScript，網路和移動技術感興趣的頂尖軟體開發人才。 
Job Scope: 
• Design and develop backend services for our platform 
• Design and implementing scalable RESTful APIs 
• Interfacing with external SaaS providers 
• Act as a core member of scalable architecture team",3/22,https://www.104.com.tw/job/6u3dv?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=5&mode=s&jobsource=jolist_c_relevance,台北市內湖區,台北市內湖區,3年以上,大學
81,資策會_財團法人資訊工業策進會,電腦軟體服務業,【創生處】 Python 數據分析師,1,"1.Python 語法及分析步驟經驗
2.資料庫 CRUD 等應用能力經驗
3.前處理、ETL及特徵轉換經驗佳
4.科技趨勢研究、專利提案及撰寫專案計畫規格
5.研發論文、閱讀及分享能力
6.協助工廠內部大數據應用、分析及監測相關應用

",3/17,https://www.104.com.tw/job/76ger?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=5&mode=s&jobsource=jolist_c_relevance,南投縣南投市文獻路2號,南投縣南投市,經歷不拘,碩士
82,智趣王數位科技股份有限公司,數位內容產業,WEB網頁程式設計師(JAVA/Python),1,"，JSP(JSTL標籤、EL標籤)) 或 Python(Flask, SqlAlchemy)
2. 熟悉 MySQL，除了ORM外，也可以根據需求或系統效能撰寫SQL指令碼。如果其他人很忙，也要能任務需求自行規劃、設計資料結構。
3. 熟悉",3/17,https://www.104.com.tw/job/3y3uv?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=5&mode=s&jobsource=jolist_c_relevance,台北市大安區信義路四段88號8樓,台北市大安區,經歷不拘,高中以下
83,美商美創資通股份有限公司台灣分公司,其它軟體及網路相關業,資深後端系統工程師 (python),1,"徵求有實力的 web service 後端開發者

5 年以上工作經歷，並熟悉以下項目：

1. Linux 指令與應用
2. Webservice 開發經驗, python-base 尤佳, e.g. Web2py, Django,",3/22,https://www.104.com.tw/job/4mfzt?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=5&mode=s&jobsource=jolist_c_relevance,台北市中山區松江路,台北市中山區,5年以上,大學
84,紅門互動股份有限公司,網際網路相關業,Python Flask網站開發工程師(台北),1,"1. 網站管理/系統開發與維護。
2. 網站資料庫設計與維護。
3. 前端套版應用。
4. 第三方API整合和API開發。
5. 數據整合應用開發

【必要條件】
1. 熟悉 Python(Flask為主)
2. 熟悉",3/16,https://www.104.com.tw/job/6xtfl?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=5&mode=s&jobsource=jolist_c_relevance,台北市松山區南京東路四段126號11樓之1,台北市松山區,經歷不拘,專科
85,蓋特資訊系統股份有限公司,網際網路相關業,Python 後端工程師,1,"Requirements：

1. 數據採集與清洗，內容包含ETL與爬蟲且需要對數據質量管控（準確性、完整性、一致性、有效性）。
2. 系統測試與程式測試，內容包含服務的整個生命週期的測試（需要white box/白箱/白盒測試、數據測試、專項測試輸出、效果評測、web佈署、服務上線後的監控）。
3. 有基本的DB知識，需要能使用RDB與常見的NoSQL DB。
4. 有自動化測試經驗（使用語言不限）。

其中1.和2.至少有其中一項能夠滿足條件。

Nice to have：
* 熟悉分散式工具或架構，如Flume, Scribe, Kafka, Hadoop, Spark。
* 能夠優化DB效能者佳，DB因為種類繁多，可針對幾種說明優化和使用經驗。
* 熟悉標注軟體，因為有可能要協協助自動化標籤。
* 能設計或規劃測試流程和方法，熟悉多樣測試平台或測試工具為佳（例如：QTP, Selenium, Appium, Jmeter, Aion, Applitools, Appvance IQ, Test.ai, Eggplant, Mabl, ReTest, Sauce Labs....）。",3/19,https://www.104.com.tw/job/6vdrl?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=5&mode=s&jobsource=jolist_c_relevance,台北市中正區寧波東街1號6樓,台北市中正區,2年以上,學歷不拘
86,學力創意股份有限公司,其它軟體及網路相關業,Python網站工程師(資深),1,"-Python 監控與維運系統開發
-熟悉Python編程語言
-設計編寫API
-系統維運
-技術文件撰寫

【職務條件】
-具有 Git 版本控制相關知識
-熟悉 Linux 基本常見指令
-可獨立或與團隊合作，工作態度積極、負責，能配合公司",3/17,https://www.104.com.tw/job/76w1e?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=5&mode=s&jobsource=jolist_c_relevance,台北市大安區信義路四段55號2樓之1,台北市大安區,5年以上,學歷不拘
87,綠界科技股份有限公司,電腦系統整合服務業,Python程式設計師(副理),1,收銀台專案相關應用程式開發、維護、管理。,3/19,https://www.104.com.tw/job/6yyb2?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=5&mode=s&jobsource=jolist_c_relevance,台北市南港區三重路19-2號6樓之2,台北市南港區,5年以上,專科
88,雨林新零售股份有限公司,網際網路相關業,Data Engineer 資深數據工程師 / 資深資料工程師 / 主管（Python）,1,"【工作內容】
1. 撰寫網路爬蟲程式、存取串流資料
2. 資料採擷/數據分析工具之研究開發
3. 系統維護及需求開發
",3/18,https://www.104.com.tw/job/77u0t?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=5&mode=s&jobsource=jolist_c_relevance,台北市松山區南京東路四段18號15樓,台北市松山區,3年以上,專科
89,睿點行動股份有限公司,網際網路相關業,金融科技業 - 後端工程師-Python / PHP ( Invos 發票存摺 ),1," build
      ・selenium
      ・Google Cloud Platform
以利系統穩定及面對百萬流量的系統壓力


【職務需求】
- 資訊工程背景 或 一年以上後端開發經驗
- 具備 Python 或 PHP 開發
-",3/18,https://www.104.com.tw/job/77s9c?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=5&mode=s&jobsource=jolist_c_relevance,台北市松山區八德路,台北市松山區,2年以上,專科
90,萬潤科技股份有限公司,自動控制相關業,軟體工程師(Python或C++或Linux三年以上經驗者),1,"1.具Python或C++或Linux三年以上經驗者。
2.具ROS的開發經驗優。",3/24,https://www.104.com.tw/job/72xkz?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=5&mode=s&jobsource=jolist_c_relevance,高雄市路竹區路科10路1號,高雄市路竹區,3年以上,專科
91,帕奇巨科技有限公司,其它軟體及網路相關業,Python爬蟲程式實習生,2,"此職缺之資格需與學校簽約, 為實習職, 屬於學校實習學分的學生才可申請
不適合時間零散想打工，工讀性質的工讀生申請。

- 須會Python, 並曾在網路爬取資料
- 抓取資料及分析資料(BeautifulSoup/Selenium模組), 以利",3/12,https://www.104.com.tw/job/6wleb?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=5&mode=s&jobsource=jolist_c_relevance,新竹縣竹北市光明三路59號5樓,新竹縣竹北市,經歷不拘,專科
92,全富數位有限公司,網際網路相關業,後端工程師 Python Engineer,1,"歡迎有一定程度 Python基礎，並具 Web 研發相關知識， 
願意對技術持續精進的熱血工程師投遞。 

職責要求： 
1. 從事 Python Web 相關工作。 
2. 熟悉網路爬蟲技術
3. 持續優化產品的效能和質量
4.",3/22,https://www.104.com.tw/job/6izvs?ro=0&kwop=7&keyword=Python&order=15&asc=0&page=5&mode=s&jobsource=jolist_c_relevance,台中市北區崇德路一段631號11樓之1,台中市北區,經歷不拘,學歷不拘
